GenBank Name,Fig. 1,12S,16S,18S,28S,COI,cytb,H3,odh,opsin,pax
Gonatopsis sp. 01,,58202066,58202092,0,0,58202136,0,0,0,0,0
Gonatopsis sp. ARL 2008,_,0,209969951,209970003,209970045,0,0,209970199,0,0,0
Gonatus antarcticus,_,0,58202093,49482102,49482155,58202138,0,50347043,0,0,0
Gonatus berryi,,0,58202095,0,0,4003429,0,0,0,0,0
Gonatus californiensis,,0,0,0,0,5052409,0,0,0,0,0
Gonatus fabricii,_,58202067,58202094,49482103,49482156,4927139,0,50347045,0,0,0
Gonatus kamtschaticus,,58202071,58202099,0,0,58202148,0,0,0,0,0
Gonatus madokai,,58202075,58202106,0,0,58202162,0,0,0,0,0
Gonatus cf onyx,,58202074,58202104,0,0,0,0,0,0,0,0
Gonatus onyx,,0,0,0,0,4003431,0,0,0,0,0
Gonatus pyros,,0,58202105,0,0,58202160,0,0,0,0,0
Gonatus tinro,,58202068,58202097,0,0,58202142,0,0,0,0,0
Graneledone antarctica,_,161611174,161611156,0,0,15421839,0,0,0,158828843,161611135
Graneledone borealopacifica,,0,0,34369169,0,0,0,0,0,0,0
Graneledone boreopacifica,_,161611173,161611155,0,0,15421841,0,0,161611149,158828839,161611131
Graneledone verrucosa,_,45510922,82561543,49482073,0,4003433,0,50346991,45510973,158828841,45511024
Grimalditeuthis bonplandi,_,0,209969942,209970001,209970035,209970085,0,209970217,0,0,0
Grimpella thaumastocheir,,0,0,0,0,0,76359250,0,0,0,0
Grimpoteuthis sp.,,0,93004785,0,0,5678678,0,0,0,0,0
Grimpoteuthis sp. Challenger,,0,28629089,0,0,0,0,0,0,0,0
Grimpoteuthis sp. CYV 2001,,0,0,0,0,15421819,0,0,0,0,0
Grimpoteuthis sp. Discovery,,0,28629088,0,0,0,0,0,0,0,0
Haliphron atlanticus,_,48994416,48994445,49482065,0,15421821,0,50346986,48994352,48994569,48994521
Hapalochlaena fasciata,,0,0,0,0,226088474,76359252,0,0,0,0
Hapalochlaena lunulata,,62005882,18073264,0,0,226088476,0,0,0,0,0
Hapalochlaena maculosa,_,45510916,45510938,0,0,226088478,76359256,0,45510959,45511060,45511012
Hapalochlaena sp. 1 MG 2004,,0,0,0,0,0,76359254,0,0,0,0
Helicocranchia pfefferi,,0,93004784,0,0,5678671,0,0,0,0,0
Heterololigo bleekeri,_,97906254,97906253,0,0,979062511,97906252,0,0,0,0
Heteroteuthis hawaiiensis,_,34542063,34542089,49482077,82622107,34542160,0,50346997,48994344,48994376,48994406
Histioteuthis bonellii,_,0,209969964,209970005,209970056,209970129,0,209970209,0,0,0
Histioteuthis corona,_,0,209969927,49482104,49482157,0,0,50347047,0,0,0
Histioteuthis hoylei,_,0,209969928,49482105,49482158,4003439,0,50347049,0,0,0
Histioteuthis miranda,_,0,209969971,209970006,209970064,209970141,0,209970207,0,0,0
Histioteuthis oceani,_,48994428,48994460,0,0,0,0,0,48994487,48994595,48994545
Histioteuthis reversa,_,0,209969947,49482106,209970041,209970143,0,209970205,0,0,0
Histioteuthis sp.,,0,498936,0,0,0,0,0,0,0,0
Histioteuthis sp. YJP 2002,,0,0,34369171,0,0,0,0,0,0,0
Idiosepius biserialis,,157932131,157863593,0,0,0,0,0,0,0,0
Idiosepius macrocheir,,157932166,157863628,0,0,0,0,0,0,0,0
Idiosepius notoides,_,157932168,3618170,0,0,0,0,0,45510979,45511080,45511032
Idiosepius paradoxus,,62005903,62005892,0,0,62084191,0,0,0,0,0
Idiosepius picteti,,157932192,157863661,0,0,0,0,0,0,0,0
Idiosepius pygmaeus,_,34542043,209969911,49482082,0,4003441,0,50347007,0,0,0
Illex argentinus,,0,498937,0,0,87042902,0,0,0,0,0
Illex coindetii,_,48994437,209969934,49482114,49482167,48762892,0,50347065,48994505,48994613,48994563
Illex illecebrosus,,0,18253970,0,0,87042834,0,0,0,0,0
Japetella diaphana,_,45510924,18073269,49482068,0,15421825,0,0,45510975,45511076,45511028
Joubiniteuthis portieri,_,165868244,165868255,49482107,49482160,4003445,0,50347053,0,0,0
Joubiniteuthis sp. JMS 2004,,0,0,0,0,0,0,0,48994326,48994360,48994390
Kondakovia sp. ARL 2008,_,0,209969983,209970030,0,209970165,0,209970247,0,0,0
Leachia atlantica,_,0,209969919,49482093,49482146,0,0,50347027,0,0,0
Leachia lemur,_,0,209969968,209969991,209970063,209970137,0,209970186,0,0,0
Leachia pacifica,,0,496355,0,0,0,0,0,0,0,0
Lepidoteuthis grimaldii,_,0,209969930,49482108,49482161,4003447,0,50347055,0,0,0
Liocranchia valdiviae,,0,498940,0,0,4003449,0,0,0,0,0
Loligo forbesi,_,45510930,498938,0,0,5678661,0,0,45510987,45511086,45511040
Loligo reynaudii,,0,93004766,0,0,5678665,0,0,0,0,0
Loligo sp. AL9407 Loligo 1K,,0,18253969,0,0,0,0,0,0,0,0
Loligo vulgaris,_,77157317,498939,0,0,5678656,0,0,13561066,0,0
Loliolus japonica,,0,93004768,0,0,5678666,145244494,0,0,0,0
Loliolus sp. JMS 2004,_,48762902,48762913,0,0,48762884,0,0,48994340,48994372,48994402
